Date,Year,Month,Day,Category,Product Name,Sales Channel,Payment Method,Price IR,Qty,Discount IR,Revenue IR,Price,Discount,Revenue
05-05-2022,2022,5,Thursday,Camera,Instax Mini Evo,Surabaya Branch,Bank Transfer,2900000,1,290000,2610000,166.5805043,16.65805043,149.9224539
05-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Tokopedia Official,E-Wallet,150000,5,37500,712500,8.616232983,2.154058246,40.92710667
06-05-2022,2022,5,Friday,Camera,Instax Wide 300,Website,Credit Card,1800000,1,0,1800000,103.3947958,0,103.3947958
06-05-2022,2022,5,Friday,Accessories,Instax Photo Album,Tokopedia Official,Credit Card,75000,4,0,300000,4.308116491,0,17.23246597
06-05-2022,2022,5,Friday,Accessories,Acrylic Frame,Jakarta Official Store,Paylater,50000,4,0,200000,2.872077661,0,11.48831064
06-05-2022,2022,5,Friday,Accessories,Instax Photo Album,Shopee Mall,Paylater,75000,1,0,75000,4.308116491,0,4.308116491
06-05-2022,2022,5,Friday,Film,Instax Mini Film (10s),Website,Bank Transfer,95000,5,23750,451250,5.456947556,1.364236889,25.92050089
06-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet,185000,1,9250,175750,10.62668735,0.531334367,10.09535298
06-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet,150000,1,7500,142500,8.616232983,0.430811649,8.185421334
06-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Tokopedia Official,Bank Transfer,185000,1,0,185000,10.62668735,0,10.62668735
06-05-2022,2022,5,Friday,Camera,Instax Mini 11,Shopee Mall,Credit Card,1100000,1,0,1100000,63.18570854,0,63.18570854
06-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Tokopedia Official,Paylater,185000,1,9250,175750,10.62668735,0.531334367,10.09535298
07-05-2022,2022,5,Saturday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet,185000,1,0,185000,10.62668735,0,10.62668735
07-05-2022,2022,5,Saturday,Film,Instax Mini Film (20s),Jakarta Official Store,Paylater,185000,2,0,370000,10.62668735,0,21.25337469
07-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Surabaya Branch,E-Wallet,150000,1,0,150000,8.616232983,0,8.616232983
07-05-2022,2022,5,Saturday,Film,Instax Mini Film (10s),Jakarta Official Store,Bank Transfer,95000,4,0,380000,5.456947556,0,21.82779022
07-05-2022,2022,5,Saturday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet,95000,1,0,95000,5.456947556,0,5.456947556
07-05-2022,2022,5,Saturday,Accessories,Acrylic Frame,Jakarta Official Store,Paylater,50000,1,0,50000,2.872077661,0,2.872077661
07-05-2022,2022,5,Saturday,Accessories,Instax Photo Album,Jakarta Official Store,Bank Transfer,75000,4,0,300000,4.308116491,0,17.23246597
07-05-2022,2022,5,Saturday,Camera,Instax Square SQ1,Tokopedia Official,Credit Card,1900000,1,0,1900000,109.1389511,0,109.1389511
07-05-2022,2022,5,Saturday,Film,Instax Mini Film (10s),Shopee Mall,Paylater,95000,4,0,380000,5.456947556,0,21.82779022
07-05-2022,2022,5,Saturday,Accessories,Acrylic Frame,Jakarta Official Store,Paylater,50000,2,0,100000,2.872077661,0,5.744155322
07-05-2022,2022,5,Saturday,Camera,Instax Square SQ1,Website,E-Wallet,1900000,1,0,1900000,109.1389511,0,109.1389511
07-05-2022,2022,5,Saturday,Accessories,Acrylic Frame,Shopee Mall,Paylater,50000,2,5000,95000,2.872077661,0.287207766,5.456947556
08-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Tokopedia Official,Bank Transfer,185000,3,0,555000,10.62668735,0,31.88006204
08-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Surabaya Branch,Credit Card,185000,2,0,370000,10.62668735,0,21.25337469
08-05-2022,2022,5,Sunday,Camera,Instax Wide 300,Shopee Mall,Paylater,1800000,1,0,1800000,103.3947958,0,103.3947958
08-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet,185000,3,0,555000,10.62668735,0,31.88006204
08-05-2022,2022,5,Sunday,Camera,Instax Mini Evo,Surabaya Branch,Credit Card,2900000,1,145000,2755000,166.5805043,8.329025217,158.2514791
08-05-2022,2022,5,Sunday,Camera,Instax Mini 11,Surabaya Branch,E-Wallet,1100000,1,0,1100000,63.18570854,0,63.18570854
08-05-2022,2022,5,Sunday,Film,Instax Square Film (10s),Jakarta Official Store,Paylater,150000,1,0,150000,8.616232983,0,8.616232983
08-05-2022,2022,5,Sunday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,1,0,150000,8.616232983,0,8.616232983
08-05-2022,2022,5,Sunday,Film,Instax Mini Film (10s),Website,Bank Transfer,95000,3,0,285000,5.456947556,0,16.37084267
09-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Shopee Mall,Paylater,150000,3,0,450000,8.616232983,0,25.84869895
09-05-2022,2022,5,Monday,Film,Instax Mini Film (20s),Shopee Mall,Bank Transfer,185000,1,0,185000,10.62668735,0,10.62668735
09-05-2022,2022,5,Monday,Accessories,Camera Case / Bag,Surabaya Branch,Bank Transfer,150000,2,0,300000,8.616232983,0,17.23246597
09-05-2022,2022,5,Monday,Accessories,Acrylic Frame,Tokopedia Official,Credit Card,50000,2,0,100000,2.872077661,0,5.744155322
09-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Website,Paylater,150000,2,0,300000,8.616232983,0,17.23246597
09-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Tokopedia Official,Bank Transfer,150000,1,0,150000,8.616232983,0,8.616232983
09-05-2022,2022,5,Monday,Camera,Instax Square SQ1,Tokopedia Official,Bank Transfer,1900000,1,0,1900000,109.1389511,0,109.1389511
09-05-2022,2022,5,Monday,Camera,Instax Mini 11,Surabaya Branch,Paylater,1100000,1,0,1100000,63.18570854,0,63.18570854
10-05-2022,2022,5,Tuesday,Film,Instax Mini Film (20s),Website,Credit Card,185000,1,0,185000,10.62668735,0,10.62668735
10-05-2022,2022,5,Tuesday,Film,Instax Mini Film (20s),Tokopedia Official,Credit Card,185000,1,0,185000,10.62668735,0,10.62668735
10-05-2022,2022,5,Tuesday,Film,Instax Mini Film (20s),Tokopedia Official,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
11-05-2022,2022,5,Wednesday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,5,0,750000,8.616232983,0,43.08116491
11-05-2022,2022,5,Wednesday,Camera,Instax Mini Evo,Website,E-Wallet,2900000,1,0,2900000,166.5805043,0,166.5805043
11-05-2022,2022,5,Wednesday,Accessories,Instax Photo Album,Surabaya Branch,Credit Card,75000,3,0,225000,4.308116491,0,12.92434947
11-05-2022,2022,5,Wednesday,Film,Instax Square Film (10s),Tokopedia Official,Bank Transfer,150000,1,0,150000,8.616232983,0,8.616232983
11-05-2022,2022,5,Wednesday,Film,Instax Mini Film (10s),Website,Bank Transfer,95000,2,0,190000,5.456947556,0,10.91389511
11-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Tokopedia Official,Paylater,185000,1,0,185000,10.62668735,0,10.62668735
11-05-2022,2022,5,Wednesday,Accessories,Instax Photo Album,Tokopedia Official,Paylater,75000,1,3750,71250,4.308116491,0.215405825,4.092710667
11-05-2022,2022,5,Wednesday,Accessories,Instax Photo Album,Website,E-Wallet,75000,4,0,300000,4.308116491,0,17.23246597
11-05-2022,2022,5,Wednesday,Accessories,Instax Photo Album,Tokopedia Official,Credit Card,75000,3,0,225000,4.308116491,0,12.92434947
12-05-2022,2022,5,Thursday,Film,Instax Mini Film (10s),Tokopedia Official,Bank Transfer,95000,2,9500,180500,5.456947556,0.545694756,10.36820036
12-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Tokopedia Official,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
12-05-2022,2022,5,Thursday,Accessories,Acrylic Frame,Tokopedia Official,E-Wallet,50000,5,0,250000,2.872077661,0,14.3603883
12-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Surabaya Branch,Credit Card,185000,1,0,185000,10.62668735,0,10.62668735
12-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Surabaya Branch,Paylater,185000,2,0,370000,10.62668735,0,21.25337469
12-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Jakarta Official Store,E-Wallet,185000,3,0,555000,10.62668735,0,31.88006204
12-05-2022,2022,5,Thursday,Camera,Instax Square SQ1,Surabaya Branch,Paylater,1900000,1,0,1900000,109.1389511,0,109.1389511
13-05-2022,2022,5,Friday,Camera,Instax Square SQ1,Website,Paylater,1900000,1,0,1900000,109.1389511,0,109.1389511
13-05-2022,2022,5,Friday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet,95000,1,0,95000,5.456947556,0,5.456947556
13-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Shopee Mall,Credit Card,150000,1,7500,142500,8.616232983,0.430811649,8.185421334
13-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet,185000,2,0,370000,10.62668735,0,21.25337469
13-05-2022,2022,5,Friday,Accessories,Instax Photo Album,Tokopedia Official,Bank Transfer,75000,1,0,75000,4.308116491,0,4.308116491
13-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Shopee Mall,Paylater,150000,1,0,150000,8.616232983,0,8.616232983
13-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Jakarta Official Store,Bank Transfer,185000,1,0,185000,10.62668735,0,10.62668735
13-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,Paylater,185000,1,0,185000,10.62668735,0,10.62668735
14-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Shopee Mall,Bank Transfer,150000,1,7500,142500,8.616232983,0.430811649,8.185421334
14-05-2022,2022,5,Saturday,Accessories,Acrylic Frame,Jakarta Official Store,Bank Transfer,50000,2,0,100000,2.872077661,0,5.744155322
14-05-2022,2022,5,Saturday,Camera,Instax Wide 300,Website,Credit Card,1800000,1,0,1800000,103.3947958,0,103.3947958
14-05-2022,2022,5,Saturday,Accessories,Camera Case / Bag,Surabaya Branch,Credit Card,150000,2,0,300000,8.616232983,0,17.23246597
14-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet,150000,1,0,150000,8.616232983,0,8.616232983
15-05-2022,2022,5,Sunday,Accessories,Instax Photo Album,Tokopedia Official,Credit Card,75000,1,0,75000,4.308116491,0,4.308116491
15-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet,185000,2,0,370000,10.62668735,0,21.25337469
15-05-2022,2022,5,Sunday,Film,Instax Square Film (10s),Tokopedia Official,Credit Card,150000,3,22500,427500,8.616232983,1.292434947,24.556264
15-05-2022,2022,5,Sunday,Accessories,Acrylic Frame,Shopee Mall,Bank Transfer,50000,5,0,250000,2.872077661,0,14.3603883
15-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Surabaya Branch,Paylater,185000,2,0,370000,10.62668735,0,21.25337469
15-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Website,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
16-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Shopee Mall,E-Wallet,95000,2,0,190000,5.456947556,0,10.91389511
16-05-2022,2022,5,Monday,Camera,Instax Square SQ1,Tokopedia Official,Paylater,1900000,1,0,1900000,109.1389511,0,109.1389511
16-05-2022,2022,5,Monday,Film,Instax Mini Film (20s),Shopee Mall,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
16-05-2022,2022,5,Monday,Accessories,Instax Photo Album,Website,Bank Transfer,75000,2,0,150000,4.308116491,0,8.616232983
16-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Jakarta Official Store,Bank Transfer,95000,1,0,95000,5.456947556,0,5.456947556
16-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Surabaya Branch,Bank Transfer,95000,1,0,95000,5.456947556,0,5.456947556
16-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Shopee Mall,E-Wallet,150000,1,0,150000,8.616232983,0,8.616232983
16-05-2022,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,E-Wallet,185000,1,0,185000,10.62668735,0,10.62668735
16-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,1,0,150000,8.616232983,0,8.616232983
17-05-2022,2022,5,Tuesday,Camera,Instax Mini Evo,Tokopedia Official,Credit Card,2900000,1,0,2900000,166.5805043,0,166.5805043
17-05-2022,2022,5,Tuesday,Film,Instax Square Film (10s),Surabaya Branch,Credit Card,150000,1,0,150000,8.616232983,0,8.616232983
17-05-2022,2022,5,Tuesday,Accessories,Acrylic Frame,Jakarta Official Store,E-Wallet,50000,1,0,50000,2.872077661,0,2.872077661
17-05-2022,2022,5,Tuesday,Film,Instax Mini Film (10s),Tokopedia Official,Bank Transfer,95000,4,0,380000,5.456947556,0,21.82779022
18-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet,185000,1,0,185000,10.62668735,0,10.62668735
18-05-2022,2022,5,Wednesday,Film,Instax Square Film (10s),Jakarta Official Store,Bank Transfer,150000,5,0,750000,8.616232983,0,43.08116491
18-05-2022,2022,5,Wednesday,Camera,Instax Square SQ1,Tokopedia Official,Credit Card,1900000,1,0,1900000,109.1389511,0,109.1389511
18-05-2022,2022,5,Wednesday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet,150000,1,0,150000,8.616232983,0,8.616232983
18-05-2022,2022,5,Wednesday,Camera,Instax Mini Evo,Surabaya Branch,Paylater,2900000,1,0,2900000,166.5805043,0,166.5805043
18-05-2022,2022,5,Wednesday,Accessories,Acrylic Frame,Jakarta Official Store,Credit Card,50000,4,0,200000,2.872077661,0,11.48831064
18-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Shopee Mall,Paylater,185000,2,18500,351500,10.62668735,1.062668735,20.19070596
19-05-2022,2022,5,Thursday,Accessories,Instax Photo Album,Shopee Mall,Bank Transfer,75000,1,0,75000,4.308116491,0,4.308116491
19-05-2022,2022,5,Thursday,Film,Instax Mini Film (10s),Tokopedia Official,Bank Transfer,95000,1,0,95000,5.456947556,0,5.456947556
19-05-2022,2022,5,Thursday,Accessories,Acrylic Frame,Shopee Mall,Bank Transfer,50000,3,0,150000,2.872077661,0,8.616232983
19-05-2022,2022,5,Thursday,Accessories,Acrylic Frame,Website,Paylater,50000,3,0,150000,2.872077661,0,8.616232983
19-05-2022,2022,5,Thursday,Accessories,Acrylic Frame,Shopee Mall,E-Wallet,50000,5,0,250000,2.872077661,0,14.3603883
19-05-2022,2022,5,Thursday,Accessories,Instax Photo Album,Shopee Mall,Credit Card,75000,2,0,150000,4.308116491,0,8.616232983
19-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Website,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
19-05-2022,2022,5,Thursday,Film,Instax Mini Film (10s),Surabaya Branch,Paylater,95000,2,0,190000,5.456947556,0,10.91389511
19-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Shopee Mall,Bank Transfer,150000,4,0,600000,8.616232983,0,34.46493193
19-05-2022,2022,5,Thursday,Camera,Instax Wide 300,Surabaya Branch,Credit Card,1800000,1,0,1800000,103.3947958,0,103.3947958
20-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,Credit Card,185000,1,9250,175750,10.62668735,0.531334367,10.09535298
20-05-2022,2022,5,Friday,Accessories,Acrylic Frame,Surabaya Branch,Bank Transfer,50000,3,0,150000,2.872077661,0,8.616232983
20-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Tokopedia Official,Paylater,150000,3,0,450000,8.616232983,0,25.84869895
20-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Surabaya Branch,Bank Transfer,185000,4,0,740000,10.62668735,0,42.50674938
20-05-2022,2022,5,Friday,Film,Instax Mini Film (10s),Website,Credit Card,95000,2,0,190000,5.456947556,0,10.91389511
20-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Shopee Mall,E-Wallet,150000,2,0,300000,8.616232983,0,17.23246597
20-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Website,E-Wallet,150000,3,0,450000,8.616232983,0,25.84869895
20-05-2022,2022,5,Friday,Film,Instax Mini Film (10s),Website,Paylater,95000,2,0,190000,5.456947556,0,10.91389511
20-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Surabaya Branch,Credit Card,150000,3,0,450000,8.616232983,0,25.84869895
20-05-2022,2022,5,Friday,Accessories,Camera Case / Bag,Jakarta Official Store,Bank Transfer,150000,3,0,450000,8.616232983,0,25.84869895
20-05-2022,2022,5,Friday,Camera,Instax Wide 300,Tokopedia Official,Credit Card,1800000,1,0,1800000,103.3947958,0,103.3947958
20-05-2022,2022,5,Friday,Camera,Instax Mini 11,Surabaya Branch,E-Wallet,1100000,1,0,1100000,63.18570854,0,63.18570854
21-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Website,E-Wallet,150000,3,0,450000,8.616232983,0,25.84869895
21-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Jakarta Official Store,Credit Card,150000,2,0,300000,8.616232983,0,17.23246597
21-05-2022,2022,5,Saturday,Film,Instax Mini Film (10s),Jakarta Official Store,Credit Card,95000,3,0,285000,5.456947556,0,16.37084267
21-05-2022,2022,5,Saturday,Accessories,Acrylic Frame,Jakarta Official Store,Bank Transfer,50000,1,0,50000,2.872077661,0,2.872077661
21-05-2022,2022,5,Saturday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet,185000,2,0,370000,10.62668735,0,21.25337469
21-05-2022,2022,5,Saturday,Film,Instax Mini Film (20s),Website,Paylater,185000,2,0,370000,10.62668735,0,21.25337469
21-05-2022,2022,5,Saturday,Camera,Instax Square SQ1,Shopee Mall,Credit Card,1900000,1,0,1900000,109.1389511,0,109.1389511
21-05-2022,2022,5,Saturday,Film,Instax Mini Film (10s),Tokopedia Official,Credit Card,95000,1,0,95000,5.456947556,0,5.456947556
21-05-2022,2022,5,Saturday,Film,Instax Mini Film (10s),Shopee Mall,E-Wallet,95000,3,0,285000,5.456947556,0,16.37084267
21-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Surabaya Branch,E-Wallet,150000,2,15000,285000,8.616232983,0.861623298,16.37084267
21-05-2022,2022,5,Saturday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet,150000,3,0,450000,8.616232983,0,25.84869895
21-05-2022,2022,5,Saturday,Film,Instax Mini Film (20s),Jakarta Official Store,Paylater,185000,1,0,185000,10.62668735,0,10.62668735
22-05-2022,2022,5,Sunday,Film,Instax Square Film (10s),Surabaya Branch,E-Wallet,150000,2,0,300000,8.616232983,0,17.23246597
22-05-2022,2022,5,Sunday,Film,Instax Mini Film (10s),Shopee Mall,Paylater,95000,3,0,285000,5.456947556,0,16.37084267
22-05-2022,2022,5,Sunday,Film,Instax Mini Film (20s),Website,E-Wallet,185000,3,0,555000,10.62668735,0,31.88006204
22-05-2022,2022,5,Sunday,Film,Instax Square Film (10s),Jakarta Official Store,E-Wallet,150000,2,0,300000,8.616232983,0,17.23246597
22-05-2022,2022,5,Sunday,Film,Instax Mini Film (10s),Shopee Mall,Paylater,95000,2,0,190000,5.456947556,0,10.91389511
22-05-2022,2022,5,Sunday,Film,Instax Mini Film (10s),Surabaya Branch,E-Wallet,95000,4,0,380000,5.456947556,0,21.82779022
23-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Surabaya Branch,Bank Transfer,95000,2,0,190000,5.456947556,0,10.91389511
23-05-2022,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,Credit Card,185000,4,0,740000,10.62668735,0,42.50674938
23-05-2022,2022,5,Monday,Film,Instax Mini Film (20s),Jakarta Official Store,Credit Card,185000,5,0,925000,10.62668735,0,53.13343673
23-05-2022,2022,5,Monday,Camera,Instax Mini Evo,Website,Bank Transfer,2900000,1,0,2900000,166.5805043,0,166.5805043
23-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Tokopedia Official,Credit Card,95000,1,0,95000,5.456947556,0,5.456947556
23-05-2022,2022,5,Monday,Film,Instax Mini Film (10s),Shopee Mall,Credit Card,95000,1,0,95000,5.456947556,0,5.456947556
23-05-2022,2022,5,Monday,Accessories,Acrylic Frame,Surabaya Branch,Bank Transfer,50000,1,0,50000,2.872077661,0,2.872077661
23-05-2022,2022,5,Monday,Film,Instax Square Film (10s),Website,Credit Card,150000,2,0,300000,8.616232983,0,17.23246597
24-05-2022,2022,5,Tuesday,Camera,Instax Mini 11,Tokopedia Official,Bank Transfer,1100000,1,0,1100000,63.18570854,0,63.18570854
24-05-2022,2022,5,Tuesday,Accessories,Instax Photo Album,Shopee Mall,Credit Card,75000,1,0,75000,4.308116491,0,4.308116491
24-05-2022,2022,5,Tuesday,Film,Instax Square Film (10s),Surabaya Branch,Paylater,150000,3,0,450000,8.616232983,0,25.84869895
24-05-2022,2022,5,Tuesday,Film,Instax Square Film (10s),Jakarta Official Store,Credit Card,150000,2,0,300000,8.616232983,0,17.23246597
25-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Shopee Mall,Bank Transfer,185000,3,0,555000,10.62668735,0,31.88006204
25-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Jakarta Official Store,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
25-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Surabaya Branch,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
25-05-2022,2022,5,Wednesday,Film,Instax Mini Film (10s),Tokopedia Official,E-Wallet,95000,3,0,285000,5.456947556,0,16.37084267
25-05-2022,2022,5,Wednesday,Film,Instax Mini Film (20s),Tokopedia Official,E-Wallet,185000,2,0,370000,10.62668735,0,21.25337469
25-05-2022,2022,5,Wednesday,Accessories,Camera Case / Bag,Jakarta Official Store,E-Wallet,150000,1,7500,142500,8.616232983,0.430811649,8.185421334
25-05-2022,2022,5,Wednesday,Camera,Instax Mini Evo,Website,Bank Transfer,2900000,2,0,5800000,166.5805043,0,333.1610087
25-05-2022,2022,5,Wednesday,Film,Instax Mini Film (10s),Jakarta Official Store,Credit Card,95000,2,0,190000,5.456947556,0,10.91389511
26-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Surabaya Branch,E-Wallet,185000,4,0,740000,10.62668735,0,42.50674938
26-05-2022,2022,5,Thursday,Film,Instax Mini Film (20s),Tokopedia Official,Bank Transfer,185000,2,0,370000,10.62668735,0,21.25337469
26-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Tokopedia Official,Paylater,150000,2,0,300000,8.616232983,0,17.23246597
26-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Website,Credit Card,150000,3,0,450000,8.616232983,0,25.84869895
26-05-2022,2022,5,Thursday,Film,Instax Mini Film (10s),Website,Credit Card,95000,4,19000,361000,5.456947556,1.091389511,20.73640071
26-05-2022,2022,5,Thursday,Film,Instax Square Film (10s),Shopee Mall,Credit Card,150000,1,0,150000,8.616232983,0,8.616232983
26-05-2022,2022,5,Thursday,Film,Instax Mini Film (10s),Website,E-Wallet,95000,4,0,380000,5.456947556,0,21.82779022
27-05-2022,2022,5,Friday,Film,Instax Mini Film (20s),Shopee Mall,E-Wallet,185000,1,9250,175750,10.62668735,0.531334367,10.09535298
27-05-2022,2022,5,Friday,Camera,Instax Square SQ1,Website,Paylater,1900000,1,0,1900000,109.1389511,0,109.1389511
27-05-2022,2022,5,Friday,Film,Instax Square Film (10s),Surabaya Branch,Credit Card,150000,4,30000,570000,8.616232983,1.723246597,32.74168534
