"Time","Film Camera","Brain rot","AI slop","Doomscrolling","Retro style","Vintage","Y2K aesthetic","2000s"
"2013-10-01",1,0,0,0,46,4,0,8
"2013-11-01",1,0,0,0,50,4,0,8
"2013-12-01",1,0,0,0,50,4,0,8
"2014-01-01",1,0,0,0,49,5,0,9
"2014-02-01",1,0,0,0,49,5,0,9
"2014-03-01",1,0,0,0,46,5,0,9
"2014-04-01",1,0,0,0,46,5,0,9
"2014-05-01",1,0,0,0,47,5,0,9
"2014-06-01",1,0,0,0,48,5,0,9
"2014-07-01",1,0,0,0,46,5,0,9
"2014-08-01",1,0,0,0,48,5,0,9
"2014-09-01",1,0,0,0,44,5,0,9
"2014-10-01",1,0,0,0,45,5,0,9
"2014-11-01",1,0,0,0,49,5,0,9
"2014-12-01",1,0,0,0,49,4,0,9
"2015-01-01",1,0,0,0,45,5,0,9
"2015-02-01",1,0,0,0,45,5,0,9
"2015-03-01",1,0,0,0,45,5,0,9
"2015-04-01",1,0,0,0,44,5,0,9
"2015-05-01",1,0,0,0,45,5,0,10
"2015-06-01",1,0,0,0,45,5,0,9
"2015-07-01",1,0,0,0,45,5,0,9
"2015-08-01",1,0,0,0,46,6,0,9
"2015-09-01",1,0,0,0,45,5,0,9
"2015-10-01",1,0,0,0,44,6,0,10
"2015-11-01",1,0,0,0,44,5,0,9
"2015-12-01",1,0,0,0,46,5,0,10
"2016-01-01",1,0,0,0,45,6,0,12
"2016-02-01",1,0,0,0,46,5,0,11
"2016-03-01",1,0,0,0,44,5,0,11
"2016-04-01",1,0,0,0,43,5,0,11
"2016-05-01",1,0,0,0,47,5,0,12
"2016-06-01",1,0,0,0,41,5,0,11
"2016-07-01",1,0,0,0,43,5,0,11
"2016-08-01",1,0,0,0,43,5,0,11
"2016-09-01",1,0,0,0,44,5,0,12
"2016-10-01",1,0,0,0,45,5,0,12
"2016-11-01",0,0,0,0,73,0,0,10
"2016-12-01",0,0,0,0,82,0,0,11
"2017-01-01",0,0,0,0,72,0,0,12
"2017-02-01",0,0,0,0,76,0,0,13
"2017-03-01",0,0,0,0,69,0,0,13
"2017-04-01",0,0,0,0,71,0,0,13
"2017-05-01",0,0,0,0,68,0,0,14
"2017-06-01",0,0,0,0,66,0,0,13
"2017-07-01",0,0,0,0,69,0,0,13
"2017-08-01",0,0,0,0,70,0,0,13
"2017-09-01",0,0,0,0,68,0,0,13
"2017-10-01",0,0,0,0,67,0,0,15
"2017-11-01",0,0,0,0,74,0,0,12
"2017-12-01",0,0,0,0,57,0,0,12
"2018-01-01",0,0,0,0,61,0,0,13
"2018-02-01",0,0,0,0,70,0,0,15
"2018-03-01",0,0,0,0,94,0,0,17
"2018-04-01",0,0,0,0,87,0,0,16
"2018-05-01",0,0,0,0,84,0,0,16
"2018-06-01",0,0,0,0,87,0,0,15
"2018-07-01",0,0,0,0,94,18,0,14
"2018-08-01",0,0,0,0,84,27,0,13
"2018-09-01",0,0,0,0,71,28,0,11
"2018-10-01",0,0,0,0,61,25,0,10
"2018-11-01",0,0,0,0,72,32,0,12
"2018-12-01",0,0,0,0,76,30,0,14
"2019-01-01",0,0,0,0,65,32,0,21
"2019-02-01",0,0,0,0,64,28,0,21
"2019-03-01",0,0,0,0,62,29,0,20
"2019-04-01",0,0,0,0,57,28,0,17
"2019-05-01",0,0,0,0,59,30,0,20
"2019-06-01",0,0,0,0,72,27,0,19
"2019-07-01",0,0,0,0,71,30,0,21
"2019-08-01",0,0,0,0,72,29,0,20
"2019-09-01",0,0,0,0,68,27,0,21
"2019-10-01",0,0,0,0,66,29,0,22
"2019-11-01",0,0,0,0,71,30,0,23
"2019-12-01",0,0,0,0,75,30,0,22
"2020-01-01",0,0,0,0,68,31,0,24
"2020-02-01",1,0,0,0,68,28,0,24
"2020-03-01",1,0,0,0,61,24,0,25
"2020-04-01",1,0,0,0,65,27,0,30
"2020-05-01",1,0,0,0,69,30,0,27
"2020-06-01",2,0,0,0,69,30,0,26
"2020-07-01",2,0,0,0,68,30,0,25
"2020-08-01",2,0,0,0,68,30,0,24
"2020-09-01",2,0,0,0,64,32,0,24
"2020-10-01",3,0,0,0,64,31,0,23
"2020-11-01",3,0,0,0,66,33,0,23
"2020-12-01",3,0,0,0,68,32,0,23
"2021-01-01",3,0,0,0,63,33,0,25
"2021-02-01",3,0,0,0,62,30,0,24
"2021-03-01",3,0,0,0,60,26,0,23
"2021-04-01",2,0,0,0,56,29,0,23
"2021-05-01",2,0,0,0,58,29,0,24
"2021-06-01",3,0,0,0,60,24,0,25
"2021-07-01",3,0,0,0,63,26,0,24
"2021-08-01",3,0,0,0,61,26,0,24
"2021-09-01",3,0,0,0,55,24,0,23
"2021-10-01",3,0,0,0,55,23,0,26
"2021-11-01",4,0,0,0,57,23,0,23
"2021-12-01",6,0,0,0,57,23,0,21
"2022-01-01",5,0,0,0,54,24,0,26
"2022-02-01",5,0,0,0,52,26,0,27
"2022-03-01",5,0,0,1,50,20,0,28
"2022-04-01",5,0,0,0,53,21,0,29
"2022-05-01",5,0,0,0,51,19,0,28
"2022-06-01",4,0,0,0,55,19,0,29
"2022-07-01",3,0,0,0,57,23,0,53
"2022-08-01",4,0,0,0,57,24,0,42
"2022-09-01",3,0,0,0,51,23,0,56
"2022-10-01",4,0,0,0,52,24,0,54
"2022-11-01",4,0,0,0,52,22,0,47
"2022-12-01",4,0,0,0,54,20,0,49
"2023-01-01",3,0,0,0,51,19,0,61
"2023-02-01",3,0,0,0,51,19,0,59
"2023-03-01",2,0,0,0,51,19,0,41
"2023-04-01",2,0,0,0,48,20,0,34
"2023-05-01",2,0,0,0,58,22,0,35
"2023-06-01",2,0,0,0,51,16,0,33
"2023-07-01",2,0,0,0,52,17,0,33
"2023-08-01",2,0,0,0,54,18,0,31
"2023-09-01",2,0,0,0,50,17,0,33
"2023-10-01",1,0,0,0,49,19,0,36
"2023-11-01",1,0,0,0,54,21,0,32
"2023-12-01",2,0,0,0,55,17,0,32
"2024-01-01",2,0,0,1,53,16,0,34
"2024-02-01",3,0,0,1,54,14,0,36
"2024-03-01",3,0,0,1,49,16,0,35
"2024-04-01",3,0,0,1,51,16,0,36
"2024-05-01",3,0,0,1,51,14,0,38
"2024-06-01",3,0,0,1,49,12,0,35
"2024-07-01",3,0,0,1,53,12,0,34
"2024-08-01",3,0,0,1,56,14,0,37
"2024-09-01",3,2,0,1,61,15,0,39
"2024-10-01",3,3,0,1,59,16,0,40
"2024-11-01",3,5,0,1,60,17,0,38
"2024-12-01",4,9,0,1,64,15,1,37
"2025-01-01",3,7,0,1,58,16,1,42
"2025-02-01",3,11,0,1,55,16,1,42
"2025-03-01",3,10,0,1,55,16,1,40
"2025-04-01",3,30,0,1,54,14,1,40
"2025-05-01",3,33,1,1,55,18,2,43
"2025-06-01",3,37,1,1,53,46,2,43
"2025-07-01",3,56,1,1,58,47,2,48
"2025-08-01",3,100,1,1,58,48,3,58
"2025-09-01",3,96,1,2,58,46,3,59
"2025-10-01",3,80,2,2,53,47,4,60
"2025-11-01",3,76,2,2,59,52,5,59
"2025-12-01",4,63,2,2,60,56,3,62
"2026-01-01",4,48,2,2,54,51,5,69
"2026-02-01",4,36,3,2,92,72,8,70
"2026-03-01",3,32,9,2,53,49,6,61
"2026-04-01",3,25,4,2,51,49,6,61
"2026-05-01",3,23,3,2,52,48,6,58
